age,workclass,fnlwgt,education.num,capital.loss,hours.per.week,income
23,Private,183327,9,1594,20,<=50K
17,Federal-gov,99893,7,1602,40,<=50K
21,State-gov,145651,10,1602,12,<=50K
18,Private,166889,10,1602,35,<=50K
18,Private,404868,7,1602,20,<=50K
18,?,255282,7,1602,48,<=50K
25,Private,282313,6,1602,40,<=50K
18,Private,414721,7,1602,23,<=50K
32,Private,48458,9,1669,45,<=50K
53,Local-gov,137250,14,1669,35,<=50K
61,Private,190682,9,1669,50,<=50K
61,Private,107438,4,1651,40,<=50K
39,Federal-gov,432555,9,1628,40,<=50K
22,?,219233,9,1602,30,<=50K
32,Private,105938,9,1602,20,<=50K
48,Private,125933,10,1669,38,<=50K
55,Private,177484,7,1672,40,<=50K
20,Private,91939,9,1721,30,<=50K
22,?,236330,10,1721,20,<=50K
37,Private,252947,13,1719,32,<=50K
21,Private,540712,9,1719,25,<=50K
31,Private,120672,7,1721,40,<=50K
45,Local-gov,132563,15,1726,40,<=50K
24,Private,106085,9,1721,30,<=50K
44,Federal-gov,139161,12,1741,40,<=50K
53,Private,208321,9,1740,40,<=50K
75,Self-emp-not-inc,205860,10,1735,40,<=50K
33,?,289046,9,1741,40,<=50K
43,Private,138184,9,1762,35,<=50K
71,Self-emp-not-inc,494223,10,1816,2,<=50K
26,Private,366219,9,1848,60,>50K
58,Private,156040,12,1848,40,>50K
52,State-gov,125796,14,1848,40,>50K
38,Local-gov,172855,13,1887,40,>50K
28,Local-gov,154863,9,1876,40,<=50K
60,Self-emp-not-inc,73091,9,1876,50,<=50K
39,Private,176296,9,1887,40,>50K
43,Private,184321,6,1887,40,>50K
25,Private,253267,10,1902,36,>50K
46,Private,403911,9,1902,40,>50K
50,?,204577,13,1902,60,>50K
34,Self-emp-not-inc,234960,13,1887,48,>50K
31,Private,467579,13,1887,40,>50K
50,Private,150876,9,1887,55,>50K
27,Private,169117,9,1887,40,>50K
57,Private,141570,14,1977,40,>50K
30,Local-gov,145692,10,1974,40,<=50K
51,Private,415287,9,1902,40,>50K
53,Private,608184,13,1902,40,>50K
44,Private,286750,13,1902,40,>50K
34,Private,277314,12,1902,50,>50K
41,Private,267252,10,1902,40,>50K
53,Federal-gov,271544,9,1977,40,>50K
27,Federal-gov,469705,9,1980,40,<=50K
35,Private,54595,6,1980,40,<=50K
32,Private,295589,14,1977,40,>50K
57,Local-gov,174132,14,1977,40,>50K
47,Local-gov,29819,14,1977,50,>50K
44,Private,157249,13,1977,50,>50K
34,Private,209297,9,2001,40,<=50K
36,Private,297847,9,2001,40,<=50K
65,Federal-gov,23494,10,2174,40,>50K
23,Private,213955,9,2001,40,<=50K
55,?,123382,9,2001,40,<=50K
56,Federal-gov,61885,13,2001,65,<=50K
34,Private,180714,10,2179,40,<=50K
42,Private,242564,4,2205,40,<=50K
66,Local-gov,362165,13,2206,25,<=50K
39,Private,155603,10,2205,40,<=50K
59,Local-gov,171328,9,2339,40,<=50K
90,Private,51744,9,2206,40,<=50K
52,Private,222405,9,2377,40,<=50K
61,Private,43554,3,2339,40,<=50K
60,Self-emp-not-inc,205246,9,2559,50,>50K
27,Private,156516,10,2377,20,<=50K
45,Private,172274,16,3004,35,>50K
